Distance_(microns),Gray_Value
0.000000,2.000
0.015009,5.164
0.030018,11.406
0.045026,22.528
0.060035,39.891
0.075044,64.023
0.090053,95.540
0.105061,133.370
0.120070,175.979
0.135079,225.957
0.150088,286.385
0.165097,351.246
0.180105,395.059
0.195114,389.603
0.210123,330.506
0.225132,242.604
0.240140,154.620
0.255149,85.480
0.270158,41.542
0.285167,18.301
0.300176,7.093
0.315184,2.724
0.330193,0.894
0.345202,0.103
0.360211,0.086
0.375219,0.133
0.390228,1.000
0.405237,1.000
0.420246,0.983
0.435255,1.137E-13
