Distance_(microns),Gray_Value
0.000000,3.500
0.015009,3.992
0.030018,4.500
0.045026,4.976
0.060035,4.468
0.075044,4.000
0.090053,4.548
0.105061,7.169
0.120070,13.887
0.135079,26.298
0.150088,45.371
0.165097,71.863
0.180105,108.435
0.195114,161.258
0.210123,236.935
0.225132,333.113
0.240140,428.419
0.255149,486.129
0.270158,478.145
0.285167,407.718
0.300176,304.516
0.315184,201.798
0.330193,120.452
0.345202,66.565
0.360211,35.629
0.375219,19.081
0.390228,10.242
0.405237,5.347
0.420246,2.548
0.435255,1.266
0.450263,1.258
0.465272,2.000
