Distance_(microns),Gray_Value
0.000000,0.000
0.015009,0.519
0.030018,0.553
0.045026,0.023
0.060035,0.000
0.075044,0.000
0.090053,0.000
0.105061,0.908
0.120070,1.895
0.135079,2.882
0.150088,4.737
0.165097,6.530
0.180105,9.342
0.195114,16.212
0.210123,34.694
0.225132,74.496
0.240140,148.643
0.255149,260.748
0.270158,403.874
0.285167,557.500
0.300176,676.116
0.315184,715.584
0.330193,656.002
0.345202,514.606
0.360211,340.008
0.375219,187.733
0.390228,86.864
0.405237,34.350
0.420246,11.676
0.435255,3.171
0.450263,0.509
0.465272,0.000
0.480281,0.000
0.495290,0.000
0.510298,0.000
0.525307,0.000
0.540316,0.235
0.555325,1.230
0.570334,2.750
