Distance_(microns),Gray_Value
0.000000,2.028
0.015009,2.000
0.030018,2.000
0.045026,2.771
0.060035,3.000
0.075044,4.458
0.090053,7.184
0.105061,14.130
0.120070,30.444
0.135079,67.645
0.150088,151.156
0.165097,318.934
0.180105,602.556
0.195114,991.513
0.210123,1406.490
0.225132,1695.771
0.240140,1714.417
0.255149,1471.885
0.270158,1093.372
0.285167,725.388
0.300176,443.556
0.315184,254.328
0.330193,136.948
0.345202,68.639
0.360211,31.722
0.375219,13.674
0.390228,5.833
0.405237,2.458
0.420246,0.750
0.435255,0.000
0.450263,0.208
0.465272,1.000
0.480281,1.333
