Distance_(microns),Gray_Value
0.000000,0.000
0.015009,0.000
0.030018,0.000
0.045026,0.000
0.060035,0.000
0.075044,0.000
0.090053,0.233
0.105061,1.160
0.120070,2.189
0.135079,4.873
0.150088,11.269
0.165097,26.965
0.180105,61.233
0.195114,121.609
0.210123,198.812
0.225132,261.278
0.240140,277.563
0.255149,246.551
0.270158,190.997
0.285167,135.074
0.300176,89.269
0.315184,56.267
0.330193,34.464
0.345202,20.767
0.360211,11.948
0.375219,6.222
0.390228,3.089
0.405237,2.000
0.420246,2.000
0.435255,1.929
0.450263,1.833
