Distance_(microns),Gray_Value
0.000000,0.833
0.015009,1.275
0.030018,2.074
0.045026,3.314
0.060035,6.696
0.075044,14.387
0.090053,30.603
0.105061,61.191
0.120070,111.436
0.135079,183.946
0.150088,279.525
0.165097,401.000
0.180105,550.765
0.195114,723.848
0.210123,908.191
0.225132,1075.157
0.240140,1191.431
0.255149,1205.667
0.270158,1073.892
0.285167,816.623
0.300176,524.569
0.315184,287.941
0.330193,138.647
0.345202,60.059
0.360211,23.789
0.375219,9.000
0.390228,3.500
0.405237,1.000
0.420246,0.000
0.435255,0.000
0.450263,0.000
0.465272,0.000
0.480281,0.000
0.495290,0.000
0.510298,0.000
