Distance_(microns),Gray_Value
0.000000,0.000
0.015009,0.000
0.030018,0.000
0.045026,0.000
0.060035,0.703
0.075044,2.531
0.090053,8.062
0.105061,22.145
0.120070,53.250
0.135079,116.915
0.150088,232.762
0.165097,409.429
0.180105,633.078
0.195114,869.346
0.210123,1087.074
0.225132,1253.106
0.240140,1310.500
0.255149,1187.126
0.270158,917.598
0.285167,604.838
0.300176,345.125
0.315184,173.102
0.330193,76.652
0.345202,29.859
0.360211,10.500
0.375219,3.562
0.390228,0.812
0.405237,0.000
0.420246,0.000
0.435255,0.000
0.450263,0.000
0.465272,0.000
0.480281,0.000
