Distance_(microns),Gray_Value
0.000000,3.250
0.015009,2.649
0.030018,2.276
0.045026,3.345
0.060035,7.276
0.075044,20.288
0.090053,57.826
0.105061,145.801
0.120070,309.105
0.135079,547.870
0.150088,824.994
0.165097,1086.204
0.180105,1280.688
0.195114,1346.506
0.210123,1223.630
0.225132,929.784
0.240140,584.654
0.255149,310.291
0.270158,145.889
0.285167,65.341
0.300176,30.332
0.315184,17.397
0.330193,14.198
0.345202,15.356
0.360211,16.982
0.375219,17.547
0.390228,17.461
0.405237,16.966
0.420246,15.961
0.435255,14.333
