 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,cell,channel,XMnm,YMnm,NND_other,NNI_other,NND_self,NNI_self,ball_counts,ball_selfcounts
129,d2c2_fullz_trek1.tif:0555-0601,0.014,69.9,35.03,33,22,145,9.027,8.338,9.025,8.338,0.431,A,TREK,9025.0,8338.0,221.84003245582164,117,246.13004692641653,378,6,6
130,d2c2_fullz_trek1.tif:0591-0773,0.011,70.0,41.84,35,21,170,11.61,8.872,11.61,8.872,0.394,A,TREK,11610.0,8872.0,216.40009242142204,229,337.85499848307705,133,2,4
131,d2c2_fullz_trek1.tif:0628-1006,0.019,70.096,21.535,69,29,116,15.099,9.425,15.1,9.428,0.532,A,TREK,15100.0,9428.0,165.38742394752995,280,342.54634722910123,463,7,8
132,d2c2_fullz_trek1.tif:0497-0933,0.014,70.177,36.867,56,16,159,14.009,7.457,14.013,7.459,0.446,A,TREK,14013.0,7459.0,352.5365229306036,454,364.29246492344583,76,4,6
133,d2c2_fullz_trek1.tif:0634-0855,0.014,70.547,26.4,56,32,125,12.828,9.514,12.829,9.516,0.457,A,TREK,12829.0,9516.0,27.892651361962706,652,224.0557966221807,136,9,6
134,d2c2_fullz_trek1.tif:0579-0755,0.016,70.565,23.975,63,19,111,11.323,8.695,11.321,8.697,0.468,A,TREK,11321.0,8697.0,159.0125781188394,229,196.72569735548024,102,5,6
135,d2c2_fullz_trek1.tif:0512-0379,0.013,70.821,24.389,75,31,116,5.686,7.687,5.689,7.687,0.438,A,TREK,5689.0,7687.0,38.27531841800928,746,263.41222446955646,847,9,6
136,d2c2_fullz_trek1.tif:0731-0471,0.013,70.825,26.442,45,37,137,7.065,10.971,7.067,10.972,0.437,A,TREK,7067.0,10972.0,300.4130489842277,171,330.55256768024054,880,5,7
137,d2c2_fullz_trek1.tif:0627-0841,0.013,70.983,29.341,41,26,136,12.633,9.413,12.629,9.415,0.43,A,TREK,12629.0,9415.0,194.36563482261982,618,215.3346233191495,137,6,8
138,d2c2_fullz_trek1.tif:0634-0829,0.011,71.0,30.879,36,33,142,12.442,9.518,12.441,9.52,0.402,A,TREK,12441.0,9520.0,66.12110101926616,380,215.3346233191495,136,6,7
139,d2c2_fullz_trek1.tif:0669-0350,0.012,71.273,38.056,90,20,158,5.255,10.052,5.255,10.051,0.427,A,TREK,5255.0,10051.0,86.09297300012354,231,210.77238908357992,431,6,6
140,d2c2_fullz_trek1.tif:0592-1132,0.011,71.82,42.799,28,23,173,16.993,8.891,16.991,8.891,0.411,A,TREK,16991.0,8891.0,243.1830586204557,666,267.34621747838514,206,3,8
141,d2c2_fullz_trek1.tif:0273-0350,0.014,71.823,33.357,64,29,155,5.262,4.102,5.262,4.101,0.441,A,TREK,5262.0,4101.0,183.7879212570837,661,310.3063002905355,246,5,5
142,d2c2_fullz_trek1.tif:0138-0619,0.014,72.016,24.185,45,28,119,9.292,2.077,9.29,2.077,0.462,A,TREK,9290.0,2077.0,320.6009981269553,169,329.520864286315,829,6,7
143,d2c2_fullz_trek1.tif:0307-0086,0.015,72.343,26.769,53,28,132,1.288,4.6,1.288,4.601,0.468,A,TREK,1288.0,4601.0,161.00310556011024,726,188.67167248953936,307,6,7
144,d2c2_fullz_trek1.tif:0374-0702,0.016,72.394,26.277,87,26,117,10.539,5.62,10.54,5.619,0.483,A,TREK,10540.0,5619.0,247.6327926588076,277,236.03389587091087,464,6,7
145,d2c2_fullz_trek1.tif:0708-0985,0.012,72.648,27.264,51,28,128,14.783,10.635,14.785,10.634,0.415,A,TREK,14785.0,10634.0,56.639209034025185,571,296.6513104639856,70,6,7
146,d2c2_fullz_trek1.tif:0256-0769,0.015,72.746,37.044,26,15,162,11.551,3.838,11.546,3.844,0.461,A,TREK,11546.0,3844.0,206.32013958894075,655,113.63538181394033,664,4,6
147,d2c2_fullz_trek1.tif:0104-0581,0.013,72.759,26.28,105,31,123,8.723,1.559,8.72,1.558,0.429,A,TREK,8720.0,1558.0,62.433965115151864,161,170.95028517086482,858,5,4
148,d2c2_fullz_trek1.tif:0496-0712,0.014,72.883,26.328,47,29,125,10.691,7.443,10.693,7.444,0.452,A,TREK,10693.0,7444.0,221.0701246211256,670,166.93112352104984,739,3,7
149,d2c2_fullz_trek1.tif:0610-0324,0.012,72.889,33.322,36,28,147,4.87,9.166,4.869,9.166,0.428,A,TREK,4869.0,9166.0,199.8499437077729,778,137.88400922514546,39,2,7
