 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.
518,d2c2_fullz_trek1.tif:0688-0938,0.026,162.026,78.029,81,53,357,14.088,10.335,14.094,10.342,0.611
519,d2c2_fullz_trek1.tif:0125-0584,0.015,162.773,74.55,77,63,334,8.766,1.872,8.764,1.871,0.46
520,d2c2_fullz_trek1.tif:0146-0586,0.019,163.023,82.378,118,64,380,8.803,2.198,8.799,2.194,0.513
521,d2c2_fullz_trek1.tif:0080-0533,0.014,163.85,99.144,87,39,413,8.003,1.202,8.005,1.203,0.442
522,d2c2_fullz_trek1.tif:0442-0941,0.014,163.917,89.235,104,43,374,14.12,6.632,14.12,6.631,0.444
523,d2c2_fullz_trek1.tif:0534-1196,0.013,164.561,95.98,57,40,392,17.947,8.014,17.946,8.014,0.436
524,d2c2_fullz_trek1.tif:0499-1111,0.018,165.162,59.605,179,62,288,16.672,7.501,16.672,7.5,0.503
525,d2c2_fullz_trek1.tif:0637-0606,0.014,165.391,92.98,55,45,389,9.096,9.558,9.092,9.557,0.461
526,d2c2_fullz_trek1.tif:0467-0610,0.016,165.69,74.409,72,59,335,9.155,7.001,9.155,7.004,0.482
527,d2c2_fullz_trek1.tif:0177-0262,0.016,166.11,81.021,86,62,360,3.932,2.663,3.931,2.664,0.473
528,d2c2_fullz_trek1.tif:0781-0522,0.015,166.554,88.303,93,44,383,7.836,11.731,7.833,11.73,0.47
529,d2c2_fullz_trek1.tif:0431-0687,0.015,167.836,79.287,121,64,344,10.313,6.469,10.312,6.469,0.467
530,d2c2_fullz_trek1.tif:0486-0548,0.016,168.029,90.981,84,54,396,8.238,7.302,8.237,7.303,0.48
531,d2c2_fullz_trek1.tif:0832-0211,0.015,168.104,88.223,60,50,369,3.181,12.488,3.179,12.488,0.459
532,d2c2_fullz_trek1.tif:0076-0431,0.013,168.373,107.501,44,44,431,6.472,1.141,6.473,1.14,0.437
533,d2c2_fullz_trek1.tif:0508-0843,0.018,169.564,80.803,83,66,368,12.652,7.627,12.654,7.628,0.491
534,d2c2_fullz_trek1.tif:0517-1242,0.015,170.647,92.841,56,56,382,18.645,7.765,18.644,7.765,0.467
535,d2c2_fullz_trek1.tif:0841-0245,0.018,171.086,69.116,190,58,317,3.689,12.625,3.687,12.627,0.494
536,d2c2_fullz_trek1.tif:0548-0552,0.014,171.508,95.657,83,61,395,8.292,8.223,8.292,8.223,0.45
537,d2c2_fullz_trek1.tif:0759-0251,0.016,171.562,78.4,135,60,346,3.764,11.398,3.764,11.397,0.476
538,d2c2_fullz_trek1.tif:0198-0652,0.015,172.833,80.698,86,59,346,9.796,2.979,9.797,2.98,0.476
539,d2c2_fullz_trek1.tif:0338-0743,0.015,173.426,85.322,64,50,350,11.156,5.076,11.158,5.076,0.47
540,d2c2_fullz_trek1.tif:0161-0728,0.014,174.19,87.296,73,61,382,10.931,2.412,10.931,2.411,0.463
541,d2c2_fullz_trek1.tif:0478-0324,0.014,174.484,76.535,98,55,341,4.872,7.175,4.867,7.18,0.444
542,d2c2_fullz_trek1.tif:0500-1222,0.014,174.672,88.447,100,59,377,18.348,7.506,18.347,7.506,0.465
543,d2c2_fullz_trek1.tif:0882-0450,0.014,174.937,102.402,94,40,420,6.759,13.245,6.758,13.244,0.462
544,d2c2_fullz_trek1.tif:0825-0617,0.016,175.014,72.027,81,56,326,9.269,12.385,9.269,12.385,0.486
545,d2c2_fullz_trek1.tif:0148-0239,0.014,175.032,104.096,67,46,426,3.592,2.23,3.594,2.231,0.443
546,d2c2_fullz_trek1.tif:0082-0456,0.015,175.627,110.967,78,41,445,6.852,1.225,6.852,1.223,0.451
547,d2c2_fullz_trek1.tif:0738-1082,0.016,175.886,71.234,100,67,337,16.238,11.086,16.235,11.087,0.478
548,d2c2_fullz_trek1.tif:0257-0910,0.014,176.467,104.848,63,46,434,13.663,3.864,13.662,3.864,0.431
549,d2c2_fullz_trek1.tif:0666-0969,0.014,176.548,100.697,89,54,408,14.544,9.994,14.546,9.994,0.443
550,d2c2_fullz_trek1.tif:0400-0752,0.014,177.016,83.778,80,44,368,11.284,6.013,11.282,6.014,0.453
551,d2c2_fullz_trek1.tif:0491-0848,0.018,177.312,86.025,101,51,371,12.734,7.379,12.734,7.38,0.491
552,d2c2_fullz_trek1.tif:0644-0804,0.018,178.077,83.451,67,65,365,12.074,9.67,12.075,9.672,0.506
553,d2c2_fullz_trek1.tif:0489-1197,0.015,178.353,101.076,68,47,408,17.96,7.344,17.963,7.344,0.472
554,d2c2_fullz_trek1.tif:0846-0208,0.017,178.427,81.086,129,55,365,3.135,12.709,3.139,12.711,0.48
555,d2c2_fullz_trek1.tif:0380-0304,0.016,178.429,85.924,98,49,363,4.563,5.706,4.562,5.707,0.483
556,d2c2_fullz_trek1.tif:0076-0320,0.014,179.397,97.317,97,51,403,4.811,1.143,4.81,1.144,0.459
557,d2c2_fullz_trek1.tif:0516-0186,0.017,179.44,70.804,184,79,324,2.793,7.75,2.793,7.752,0.488
558,d2c2_fullz_trek1.tif:0776-0249,0.018,179.817,67.191,93,78,317,3.74,11.654,3.74,11.653,0.51
559,d2c2_fullz_trek1.tif:0483-1133,0.021,180.495,75.96,64,59,329,17.005,7.246,17.006,7.248,0.535
560,d2c2_fullz_trek1.tif:0356-0092,0.018,180.512,78.46,89,75,355,1.39,5.354,1.39,5.354,0.497
561,d2c2_fullz_trek1.tif:0278-0093,0.02,180.648,71.877,106,62,310,1.393,4.173,1.393,4.173,0.544
562,d2c2_fullz_trek1.tif:0563-0330,0.014,181.762,108.15,69,59,457,4.955,8.451,4.951,8.454,0.454
563,d2c2_fullz_trek1.tif:0689-0694,0.016,181.861,81.187,92,70,363,10.428,10.345,10.428,10.345,0.478
564,d2c2_fullz_trek1.tif:0333-0368,0.018,181.873,85.937,54,36,352,5.531,5.004,5.531,5.001,0.498
565,d2c2_fullz_trek1.tif:0383-0810,0.013,182.386,87.794,84,50,376,12.155,5.752,12.153,5.754,0.436
566,d2c2_fullz_trek1.tif:0773-0265,0.018,183.111,79.329,154,59,365,3.978,11.609,3.977,11.61,0.506
567,d2c2_fullz_trek1.tif:1019-0508,0.018,183.188,89.366,85,48,365,7.634,15.302,7.636,15.302,0.499
568,d2c2_fullz_trek1.tif:0034-0496,0.013,184,94.05,80,52,399,7.441,0.51,7.44,0.511,0.439
569,d2c2_fullz_trek1.tif:0619-0967,0.014,184.467,107.998,93,45,437,14.514,9.293,14.515,9.294,0.441
570,d2c2_fullz_trek1.tif:0063-0265,0.014,184.85,90.578,119,60,396,3.971,0.94,3.973,0.94,0.464
571,d2c2_fullz_trek1.tif:0530-0284,0.017,184.987,83.081,138,49,347,4.272,7.965,4.276,7.959,0.49
572,d2c2_fullz_trek1.tif:0535-0701,0.016,185.219,103.909,91,46,430,10.523,8.032,10.526,8.033,0.486
573,d2c2_fullz_trek1.tif:0332-0347,0.014,185.339,91.289,88,71,411,5.208,4.988,5.209,4.988,0.451
574,d2c2_fullz_trek1.tif:0234-0842,0.017,185.608,84.063,120,33,333,12.637,3.505,12.643,3.512,0.491
575,d2c2_fullz_trek1.tif:0497-0607,0.02,185.989,80.548,111,56,366,9.112,7.473,9.106,7.473,0.528
576,d2c2_fullz_trek1.tif:0491-0296,0.013,186.172,111.671,73,47,448,4.445,7.384,4.443,7.38,0.43
577,d2c2_fullz_trek1.tif:0054-0303,0.016,186.479,82.288,81,76,370,4.549,0.811,4.55,0.811,0.485
578,d2c2_fullz_trek1.tif:0759-0389,0.017,186.493,80.612,304,78,353,5.839,11.4,5.838,11.402,0.478
579,d2c2_fullz_trek1.tif:0722-0356,0.016,186.652,89.17,109,60,386,5.343,10.839,5.34,10.838,0.478
580,d2c2_fullz_trek1.tif:0632-0814,0.018,186.885,101.905,92,52,453,12.223,9.497,12.222,9.494,0.488
581,d2c2_fullz_trek1.tif:0657-0279,0.016,186.917,84.325,72,63,377,4.197,9.871,4.198,9.869,0.497
582,d2c2_fullz_trek1.tif:0542-1070,0.014,186.968,112.095,62,55,457,16.061,8.136,16.061,8.135,0.456
583,d2c2_fullz_trek1.tif:0315-0559,0.016,187.145,109.508,89,51,468,8.389,4.723,8.39,4.721,0.474
584,d2c2_fullz_trek1.tif:0520-1078,0.017,187.532,95.863,79,51,394,16.182,7.806,16.181,7.807,0.49
585,d2c2_fullz_trek1.tif:0527-0061,0.017,187.933,80.797,100,49,342,0.922,7.909,0.92,7.911,0.497
586,d2c2_fullz_trek1.tif:0330-0466,0.02,187.955,90.486,85,61,372,6.994,4.959,6.994,4.957,0.52
587,d2c2_fullz_trek1.tif:0412-1178,0.015,188.415,84.614,114,60,368,17.687,6.181,17.688,6.182,0.449
588,d2c2_fullz_trek1.tif:0592-0658,0.017,188.818,81.713,74,58,378,9.877,8.89,9.876,8.889,0.494
589,d2c2_fullz_trek1.tif:0620-0878,0.015,188.846,84.449,109,69,375,13.185,9.302,13.186,9.302,0.458
590,d2c2_fullz_trek1.tif:0994-0574,0.015,189.179,112.287,58,36,459,8.617,14.914,8.611,14.915,0.454
591,d2c2_fullz_trek1.tif:0827-0835,0.016,190.208,87.254,68,65,368,12.538,12.425,12.538,12.423,0.473
592,d2c2_fullz_trek1.tif:0795-0316,0.018,190.658,82.854,116,60,371,4.736,11.938,4.737,11.936,0.5
593,d2c2_fullz_trek1.tif:0061-0679,0.018,190.937,93.094,106,60,409,10.205,0.917,10.203,0.918,0.495
594,d2c2_fullz_trek1.tif:0708-0950,0.02,191,94.747,54,54,462,14.267,10.626,14.27,10.64,0.521
595,d2c2_fullz_trek1.tif:0205-0926,0.019,191.141,89.128,143,59,415,13.899,3.073,13.899,3.076,0.518
596,d2c2_fullz_trek1.tif:0491-0437,0.02,191.31,93.509,208,52,434,6.562,7.365,6.563,7.364,0.52
597,d2c2_fullz_trek1.tif:0196-0449,0.014,191.435,105.384,84,60,450,6.743,2.947,6.743,2.948,0.452
598,d2c2_fullz_trek1.tif:0335-0300,0.019,191.529,87.014,76,68,388,4.508,5.039,4.508,5.038,0.508
599,d2c2_fullz_trek1.tif:0267-0866,0.017,192.513,97.793,81,59,419,13.008,4.008,13.008,4.008,0.496
600,d2c2_fullz_trek1.tif:0725-0120,0.016,193.522,112.554,47,47,461,1.812,10.885,1.815,10.884,0.468
601,d2c2_fullz_trek1.tif:0468-1107,0.016,193.629,118.37,74,51,481,16.613,7.021,16.615,7.021,0.473
602,d2c2_fullz_trek1.tif:0457-0703,0.014,193.859,106.338,77,70,454,10.555,6.858,10.556,6.859,0.463
603,d2c2_fullz_trek1.tif:0150-0698,0.013,194.534,115.464,67,52,481,10.481,2.258,10.479,2.257,0.447
604,d2c2_fullz_trek1.tif:0475-0373,0.015,195.179,91.074,289,56,401,5.598,7.131,5.604,7.129,0.446
605,d2c2_fullz_trek1.tif:0666-0244,0.014,196.557,126.958,60,46,499,3.666,9.993,3.666,9.993,0.448
606,d2c2_fullz_trek1.tif:0486-0150,0.013,196.603,121.053,94,45,482,2.252,7.295,2.25,7.297,0.448
607,d2c2_fullz_trek1.tif:0591-0090,0.02,197.187,104.695,105,53,464,1.363,8.877,1.365,8.88,0.525
608,d2c2_fullz_trek1.tif:0801-0678,0.014,197.639,108.345,115,50,448,10.177,12.032,10.174,12.03,0.448
609,d2c2_fullz_trek1.tif:0186-0516,0.015,198.615,133.251,81,48,531,7.748,2.787,7.746,2.786,0.447
610,d2c2_fullz_trek1.tif:0406-0653,0.019,198.791,81.322,83,78,378,9.804,6.102,9.805,6.104,0.518
611,d2c2_fullz_trek1.tif:0231-0544,0.014,198.794,105.752,108,66,444,8.167,3.465,8.166,3.463,0.465
612,d2c2_fullz_trek1.tif:0782-1019,0.014,198.952,129.34,71,51,535,15.294,11.732,15.296,11.732,0.444
613,d2c2_fullz_trek1.tif:0379-0178,0.017,199.382,98.735,86,53,403,2.671,5.693,2.667,5.695,0.49
614,d2c2_fullz_trek1.tif:0365-0474,0.016,199.625,70.079,136,52,326,7.11,5.478,7.117,5.476,0.459
615,d2c2_fullz_trek1.tif:0413-0113,0.023,199.637,82.991,145,67,408,1.692,6.203,1.694,6.204,0.57
616,d2c2_fullz_trek1.tif:0508-0803,0.016,200.153,114.687,127,61,475,12.049,7.622,12.052,7.622,0.468
617,d2c2_fullz_trek1.tif:0086-0273,0.015,200.224,101.423,79,70,424,4.104,1.288,4.107,1.288,0.463
618,d2c2_fullz_trek1.tif:0178-0707,0.016,200.643,107.132,154,55,466,10.622,2.676,10.621,2.677,0.471
619,d2c2_fullz_trek1.tif:0116-0635,0.014,200.65,107.602,71,64,443,9.532,1.744,9.534,1.744,0.453
620,d2c2_fullz_trek1.tif:0313-0590,0.017,200.733,106.513,69,56,455,8.864,4.697,8.865,4.698,0.487
621,d2c2_fullz_trek1.tif:0143-0368,0.018,200.815,94.516,78,75,415,5.531,2.148,5.533,2.148,0.498
622,d2c2_fullz_trek1.tif:0051-0332,0.017,200.87,103.011,77,59,423,4.992,0.763,4.991,0.762,0.51
623,d2c2_fullz_trek1.tif:0963-0386,0.013,201.241,117.767,109,43,470,5.791,14.453,5.789,14.454,0.446
624,d2c2_fullz_trek1.tif:0670-0145,0.016,202.71,130.796,75,43,547,2.181,10.063,2.184,10.063,0.47
625,d2c2_fullz_trek1.tif:0511-0962,0.014,202.714,104.93,161,64,435,14.444,7.669,14.444,7.669,0.466
626,d2c2_fullz_trek1.tif:0723-0133,0.016,202.74,103.796,141,64,424,2.01,10.856,2.007,10.857,0.477
627,d2c2_fullz_trek1.tif:0575-0649,0.02,203.391,87.859,123,72,394,9.754,8.639,9.756,8.638,0.513
628,d2c2_fullz_trek1.tif:0353-0157,0.016,203.7,112.296,104,70,468,2.356,5.295,2.356,5.294,0.471
629,d2c2_fullz_trek1.tif:0619-0618,0.016,203.884,105.585,117,62,456,9.282,9.283,9.281,9.286,0.47
630,d2c2_fullz_trek1.tif:0590-0844,0.014,204.27,110.376,94,47,477,12.673,8.864,12.67,8.864,0.455
